id,name
395738,Marketing / Comunicação
395738,Logistica / Supply Chain
325506,Marketing / Comunicação
325506,RH
1088484,Engenharia
1088484,Tecnologia
1088484,Administrativo
1088484,Finanças / Contabilidade
13973,Tecnologia
13973,Marketing / Comunicação
13973,Produção / Operações
1088484,Logistica / Supply Chain
1086565,Engenharia
1086565,RH
1086565,Produção / Operações
1086565,Logistica / Supply Chain
396057,Comercial / Vendas
396057,Finanças / Contabilidade
266169,Marketing / Comunicação
266169,Tecnologia
329356,Comercial / Vendas
329356,Marketing / Comunicação
329356,Tecnologia
1086305,Tecnologia
298868,Comercial / Vendas
1119552,Administrativo
300277,Marketing / Comunicação
395598,RH
395598,Jurídico
395598,Saúde
395598,Administrativo
395598,Marketing / Comunicação
395598,Finanças / Contabilidade
1119552,Marketing / Comunicação
298929,Marketing / Comunicação
298929,RH
470026,Comercial / Vendas
470026,Tecnologia
470026,Jurídico
470026,Saúde
470026,Administrativo
324132,Comercial / Vendas
324132,Marketing / Comunicação
344134,Jurídico
344134,Administrativo
576831,Administrativo
576831,Finanças / Contabilidade
384642,Comercial / Vendas
384642,RH
384642,Administrativo
384642,Marketing / Comunicação
384642,Finanças / Contabilidade
332315,Marketing / Comunicação
1086618,Saúde
1086305,Administrativo
1086305,Marketing / Comunicação
1091585,Produção / Operações
1091585,Logistica / Supply Chain
385890,Administrativo
1024116,Tecnologia
1024116,Marketing / Comunicação
308566,Comercial / Vendas
1122896,Comercial / Vendas
1122896,Tecnologia
1122896,Administrativo
1122896,Finanças / Contabilidade
1012814,Comercial / Vendas
1012814,Tecnologia
1012814,RH
1012814,Marketing / Comunicação
1012814,Produção / Operações
1012814,Logistica / Supply Chain
1013618,Tecnologia
1012813,Engenharia
1012813,Logistica / Supply Chain
402762,Saúde
1085835,Produção / Operações
1013618,Saúde
1013684,Engenharia
1013684,Tecnologia
1013684,Saúde
1013684,Produção / Operações
1086657,Engenharia
1086657,Tecnologia
300717,RH
303604,Comercial / Vendas
303604,Marketing / Comunicação
405044,Saúde
505337,Comercial / Vendas
505337,Administrativo
505337,Finanças / Contabilidade
505337,Produção / Operações
668900,Engenharia
668901,Administrativo
668901,Produção / Operações
668901,Logistica / Supply Chain
46796,Tecnologia
162484,Comercial / Vendas
483691,Saúde
483691,Administrativo
483691,Marketing / Comunicação
1031344,Comercial / Vendas
1031344,Marketing / Comunicação
505809,Tecnologia
496464,Engenharia
496464,Tecnologia
496464,Jurídico
496464,Administrativo
496464,Marketing / Comunicação
496464,Finanças / Contabilidade
496464,Logistica / Supply Chain
897926,Engenharia
897926,Administrativo
897926,Produção / Operações
505706,Engenharia
1090882,Comercial / Vendas
1090882,Jurídico
